모델,세부모델,03/31,04/07,04/14,04/21,04/28,05/05,05/08,05/15,비고
WX,K5A,720,714,708,702,696,690,687,684,
WX,K5B,398,402,396,400,394,391,388,385,
WX,K5C,30,8,8,75,50,50,48,46,4/14 긴급 발주 75개 입고
WX,K5D,58,56,55,55,53,53,52,51,
WX,K5F,45,45,45,45,45,45,45,45,정기 보관
QNB,Z7S 가용분 (금형교체),320,320,305,260,260,260,20,12,25년 12월 점검 완료 / 5월 소진 임박 - 긴급 대응 필요
QNB,Z7S 가용분 (도색),1450,1360,1360,1360,1355,1350,1340,1325,25년 12월 점검 완료
QNB,Z7S 가용분 (신품),0,0,0,0,0,0,0,0,신규 물량 미입고
QNB,Z7 가용분 (도색),33,33,33,33,33,0,33,30,5/5 점검 대기 후 복귀
QNB,Z7 가용분 (신품),0,0,0,0,0,0,0,0,
QNB,Z7 가용분 (반품),44,44,44,0,0,0,0,0,4/21 회수 처리 완료
QNB,Z7S 점검 대기 (금형교체),385,385,385,385,385,385,385,385,점검 진행 중 - 완료 후 가용 전환 예정
QNB,Z7S 점검 대기 (도색),1390,1390,1390,1390,1390,1390,1390,1390,생산입체 보관
QNB,Z7S 점검 대기 (신품),244,244,244,244,244,244,244,244,물류고 보관
QNB,Z7S 정비 대기 (도색),2011,2011,2011,2011,2011,2011,2011,2011,생산입체 재작 예정
Paxon,L60Pro,560,556,551,546,541,537,533,529,
Paxon,L61Pro,40,38,36,31,26,22,19,15,재고 부족 심화 - 발주 즉시 진행 필요
Paxon,L62Pro,28,28,28,28,28,28,28,28,
Paxon,P9Fpro(120),120,95,92,45,43,43,37,520,5/15 발주분 500개 입고 완료
Paxon,P9Fpro(60),195,192,192,172,170,142,98,188,5/15 발주분 100개 입고 완료
Paxon,P9E(120),35,35,35,35,35,35,35,35,
Paxon,P9E(60),60,60,60,60,60,60,60,60,
Paxon,P9F(12),9,9,9,9,9,9,9,9,
Paxon,P9J+(30),3,3,3,3,3,3,3,3,발주 완료 - 입고 대기 중
Paxon,P77,5,5,5,5,5,5,5,5,
Paxon,P79,1,1,1,1,1,1,1,1,재고 최소 유지
Paxon,G8W,5,5,5,5,5,5,4,4,
